gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
F,2,教育學院學士班,3,2,2,0,0,0,0,1,2,3,wakingup,nwycse,nwcyes,nwyces,nwcyes
M,2,奈米學士班,0,0,2,3,4,2,1,3,2,1,working,ecsnyw,ecnswy,ecsnwy,censwy
M,2,資工系,2,?,?,?,?,?,?,1,2,3,working,scwnye,scnwey,scweny,csnwey
M,2,電機,4,2,2,1,0,0,0,1,2,3,wakingup,cwesny,cwesny,cewnsy,cwesny
F,2,資工系,4,2,1,3,0,0,0,1,2,3,commuting,cwseyn,cwesny,csweny,cwesny
M,2,材料系,3,2,2,0,0,0,1,1,2,3,commuting,scewyn,scewny,scenwy,csewny
F,2,數學系,4,4,4,0,1,1,2,1,2,3,working,cswnye,csnwey,csweny,csnwey
F,2,資工,2,1,1,1,0,0,0,1,2,3,working,csenwy,csenwy,cesnwy,csenwy
M,4,材料,4,3,3,2,2,0,0,2,1,3,commuting,cswney,csnwey,csweny,csnwey
F,1,資工,3,1,3,0,0,0,0,1,2,3,resting,ncsyew,ncsyew,ncsewy,cnsyew
F,2,數學系,4,4,4,0,1,1,2,1,2,3,wakingup,cswnye,csnwey,csweny,csnwey
M,2,資工,3,1,0,2,1,0,0,1,2,3,commuting,csenwy,csenwy,cesnwy,csenwy
M,3,材料所,3,1,1,2,0,0,0,1,2,3,resting,cwnsey,cwnsey,cnwesy,cwnsey
F,2,資工系,3,1,1,2,0,0,0,1,2,3,wakingup,cesnwy,censwy,cesnwy,censwy
F,4,中文系,2,0,2,0,0,0,0,1,2,3,working,ncwsye,ncswey,ncwesy,cnswey
M,2,化學,2,1,0,2,1,0,0,3,2,1,commuting,cwnyse,cwnyes,cnwesy,cwnyes
M,2,資工系,4,2,2,2,0,0,0,1,2,3,commuting,csenyw,csenwy,cesnwy,csenwy
M,3,資工,4,1,1,3,0,0,0,1,2,3,commuting,cnsywe,cnsyew,cnsewy,cnsyew
F,2,醫環系,3,2,1,2,0,0,0,1,2,3,commuting,nwscey,nwcsey,nswcey,nwcsey
M,2,資財系,4,3,2,0,0,0,0,1,2,3,wakingup,csenwy,csenwy,cesnwy,csenwy
M,3,交大應化系,3,2,2,2,0,0,0,1,2,3,resting,ecsnyw,ecnswy,ecsnwy,censwy
M,2,電機系,2,1,1,1,1,0,0,3,1,2,commuting,csnwey,csnwey,cnsewy,csnwey
M,2,人社系,4,2,2,2,0,0,0,1,2,3,working,csweny,csewny,csweny,csewny
M,2,資工系,4,2,2,2,0,0,0,1,2,3,working,csneyw,csenwy,cnsewy,csenwy
M,2,化學,2,1,0,2,1,0,0,3,2,1,wakingup,nwcsye,nwcsey,ncwesy,nwcsey
F,2,資工,3,2,2,1,0,0,0,1,2,3,wakingup,csnwey,csnwey,cnsewy,csnwey
M,2,資工,3,1,0,2,1,0,0,1,2,3,working,cnsewy,cneswy,cnsewy,cneswy
F,4,工管,2,0,0,0,0,0,0,1,2,3,resting,necswy,necswy,nceswy,encswy
F,2,統計系,3,2,0,2,0,0,0,1,2,3,commuting,cnywse,cnwyes,cnyesw,cnwyes
M,2,資工系,3,1,0,1,0,0,0,1,2,3,resting,csnewy,csenwy,cnsewy,csenwy
F,2,電機工程學系,1,2,1,0,1,0,0,1,2,3,resting,csewyn,csewny,cesnwy,csewny
M,2,電機系,3,1,1,2,0,0,0,1,2,3,working,csenwy,csenwy,cesnwy,csenwy
F,2,應用化學系,4,3,3,2,0,0,0,1,2,3,working,ncwsye,ncswey,ncwesy,cnswey
M,2,電資,3,1,1,2,1,0,0,1,2,3,resting,ewcsyn,ewcsny,ecwnsy,ewcsny
M,4,電機系,2,0,0,2,0,0,0,1,2,3,commuting,nwcsey,nwcsey,ncwesy,nwcsey
F,2,資工系,3,1,1,2,0,0,0,1,2,3,resting,cnsewy,cneswy,cnsewy,cneswy
F,4,資工,4,2,3,3,0,0,0,1,2,3,working,csnewy,csenwy,cnsewy,csenwy
M,2,數據所,4,2,2,0,0,0,0,1,2,3,wakingup,sceynw,sceynw,scenwy,cseynw
M,2,電機,3,1,1,4,0,0,0,1,2,3,commuting,ncswye,ncswey,ncsewy,cnswey
F,4,工管,2,0,0,0,0,0,0,1,2,3,commuting,nwcsey,nwcsey,ncwesy,nwcsey
F,2,商學院,4,2,2,4,0,0,1,1,2,3,commuting,csnwey,csnwey,cnsewy,csnwey
F,2,資工系,4,3,0,4,0,0,0,1,2,3,wakingup,ncsewy,nceswy,ncsewy,cneswy
M,4,事業經營管理研究所,2,1,2,0,1,0,0,1,2,3,working,cnswye,cnswey,cnsewy,cnswey
M,3,工科所,2,1,1,2,0,0,0,1,2,3,working,cwnesy,cwensy,cnwesy,cwensy
F,2,資工,3,?,?,?,?,?,?,1,2,3,wakingup,ncsewy,nceswy,ncsewy,cneswy
M,4,材料,4,3,3,2,2,0,0,2,1,3,wakingup,csnwey,csnwey,cnsewy,csnwey
F,2,金融系,2,2,1,0,0,0,0,1,2,3,working,csnwye,csnwey,cnsewy,csnwey
M,2,資工11,3,2,1,1,1,0,1,1,2,3,commuting,wnscye,wncsey,wnscey,nwcsey
M,2,資工系,3,1,0,1,0,0,0,1,2,3,wakingup,csenwy,csenwy,cesnwy,csenwy
M,2,土木,4,1,3,3,1,0,0,1,2,3,resting,censwy,censwy,censwy,censwy
F,2,電機所,3,0,4,2,1,1,1,1,2,3,resting,cnwsye,cnswey,cnwesy,cnswey
M,2,計財,2,0,0,2,0,0,0,1,3,2,resting,scewyn,scewny,scenwy,csewny
M,2,資工系,3,1,1,2,0,0,0,1,2,3,working,cwnsey,cwnsey,cnwesy,cwnsey
M,2,資工系,4,4,1,1,0,0,0,1,2,3,working,csnwey,csnwey,cnsewy,csnwey
F,2,資工系,3,1,1,2,0,0,0,1,2,3,commuting,csenwy,csenwy,cesnwy,csenwy
M,4,電機系,2,0,0,2,0,0,0,1,2,3,working,nwcsey,nwcsey,ncwesy,nwcsey
M,3,衛教係,3,0,1,2,0,0,0,1,2,3,working,nscewy,nscewy,ncsewy,nscewy
M,2,資工系,4,4,3,4,2,0,0,1,2,3,resting,scnwye,scnwey,scnewy,csnwey
F,3,資工系,2,0,1,2,0,0,0,1,2,3,wakingup,nscwye,nscwey,ncsewy,nscwey
F,4,中文,2,2,1,0,0,0,0,1,2,3,wakingup,csnwye,csnwey,cnsewy,csnwey
F,2,資工系,3,3,2,1,0,0,0,1,2,3,wakingup,csenwy,csenwy,cesnwy,csenwy
F,2,數學系,4,4,4,0,1,1,2,1,2,3,resting,cswnye,csnwey,csweny,csnwey
M,4,經濟,4,2,3,2,1,0,0,1,2,3,commuting,cwynse,cwnyes,cwyens,cwnyes
M,2,資工系,3,0,2,2,0,0,0,1,2,3,commuting,ncswey,ncswey,ncsewy,cnswey
F,4,國貿科,1,1,2,0,1,0,0,1,2,3,working,cswyne,cswyen,csweny,cswyen
M,3,資工系,3,1,1,2,1,0,0,1,2,3,working,ncwsey,ncswey,ncwesy,cnswey
M,2,計財系,3,2,1,2,0,0,0,1,2,3,commuting,scnywe,scnyew,scnewy,csnyew
M,3,資工,4,1,1,3,0,0,0,1,2,3,working,cnsywe,cnsyew,cnsewy,cnsyew
M,2,資工系,4,4,3,4,2,0,0,1,2,3,commuting,csnewy,csenwy,cnsewy,csenwy
M,3,社畜,4,1,0,2,0,0,1,1,2,3,wakingup,nwecsy,nwcesy,newcsy,nwcesy
M,4,生命科學系,2,0,1,2,1,0,0,1,2,3,working,ncwyse,ncwyes,ncwesy,cnwyes
F,1,清大心諮系,2,1,1,0,0,0,0,1,2,3,working,ncswey,ncswey,ncsewy,cnswey
F,2,化工系,2,1,1,1,0,0,0,1,2,3,resting,cesnwy,censwy,cesnwy,censwy
F,2,資工系,4,3,1,1,0,0,0,1,2,3,resting,scewny,scewny,scenwy,csewny
